ID,Question Number,Date,Topic,Tags,Question,Correct Answer,Explanation,Option 1,Option 2,Option 3,Option 4
7998,2522,2024-12-07 10:43:31+00:00,Biostatistics,"#PublicHealth, #PreventiveMedicine","All of the following can be useful to determine the z-deviate in the z-test, except:",E. none of the above,"None of the choices is an exception. To determine the z-deviate, the following are useful: population mean, sample mean, population standard deviation (or pop. variance), sample size.",A. population mean,B. sample mean,C. population standard deviation,D. population variance
8000,2523,2024-12-07 10:44:04+00:00,Biostatistics,"#PublicHealth, #PreventiveMedicine","In drawing the conclusion on whether to reject the null hypothesis, absence of evidence is not the evidence of absence.",True,"In non-rejection of the null hypothesis, absence of evidence is not the evidence of absence; rather, it can be due to other reasons such as inadequate sample, errors in measurement, etc.",True,False,,
8002,2524,2024-12-07 10:47:34+00:00,Biostatistics,"#PublicHealth, #PreventiveMedicine","All of the following are true regarding the sampling distribution of the mean, except which statement?",None of the above.,The sampling distribution of the mean is the frequency distribution of sample means obtained from all possible samples of size n. It is normally distributed when x is normal or ...,It is the frequency distribution of sample means obtained from all possible samples of size n.,It is normally distributed when x is normal or when sample size is large enough,It is normally distributed when the mean of sample means is equal to the population mean.,It's normally distributed if std dev of sample means (or std error of mean) is equal to pop. std dev
8005,,2024-12-07 10:49:11+00:00,,,Which hypothesis test would best determine if the observed sample mean SBP significantly differs from the national average?,C) One-tailed z-test,"Since the population standard deviation (σ) is known and the sample size is large (n=200), a z-test for a single mean is appropriate for hypothesis testing. In this case, the ...",A) One-tailed t-test,B) Two-tailed t-test,C) One-tailed z-test,D) Chi-square test
8009,2526,2024-12-07 10:53:25+00:00,Biostatistics,"#PublicHealth, #PreventiveMedicine","Using an alpha value of 0.05 in the study, with which of the following p values will you reject the null hypothesis?",D. A and B,"Both 0.04 and 0.005 lead to rejecting the null hypothesis. To reject the null hypothesis at an alpha level (α) of 0.05, the p-value must be less than or equal to 0.05.",A. 0.04,B. 0.005,C. 0.06,D. A and B
8012,2527,2024-12-10 13:45:24+00:00,Prostate Gland,"#Surgery, #Urology, #Anatomy",Match the disease to the site of prostate gland where it usually develops. BPH - benign prostatic hyperplasia,"Prostate Cancer - peripheral zone, BPH - transition zone","Most prostatic adenocarcinomas develop in the peripheral zone, although some arise in the transition zone. The transition zone is the exclusive site of benign prostatic hyperplasia (BPH).","BPH - peripheral zone, Prostate Cancer - transition zone","Prostate Cancer - peripheral zone, BPH - transition zone",,
8014,2528,2024-12-10 13:49:38+00:00,Hernia,"#Surgery, #Urology, #Anatomy",Which hernia is caused by the congenital defect of having a patent processus vaginalis?,Indirect inguinal hernia,Indirect inguinal hernias are due to congenital patency of the processus vaginalis and weakening of the transversalis fascia around the internal ring.,Femoral hernia,Direct inguinal hernia,Indirect inguinal hernia,Umbilical hernia
8016,2529,2024-12-10 14:03:15+00:00,Lower Urinady Tract,"#Surgery, #Urology, #Pharmacology","You are about to prescribe a medication that will help the patient in his lower urinary tract symptoms. You specifically asked the patient if he is taking nitrates, because taking these two drugs together is contraindicated.",Phosphodiesterase-5 inhibitor,PDE5 inhibitors decrease cGMP degradation. The concomitant use of these agents can cause a significant reduction in BP. Use of PDE5 inhibitors with any form of organic nitrates is contraindicated.,Alpha-1 antagonist,5-alpha reductase inhibitor,Phosphodiesterase-5 inhibitor,All of the above
8019,2530,2024-12-11 02:52:51+00:00,Lower Urinary Tract,"#Surgery, #Therapeutics","Which drug/s has shown to alter disease progression in men with BPH, as demonstrated by two landmark trials, MTOPS and CombAT?",Dutasteride,"Only 5-alpha reductase inhibitors, e.g. Finasteride and Dutasteride, are shown to alter disease progression of BPH",Tadalafil,Finasteride + Tamsulosin,Dutasteride,Mirabegron
8021,2531,2024-12-11 02:56:03+00:00,Wounds,"#Surgery, #Pathology",Which of the following is TRUE about the hemostasis and inflammation phases of wound healing?,Serotonin is a wound-active substance secreted by platelet alpha granules,"Schwartz, p. 272-273
Neutrophil factors delay epithelial closure of wounds
Macrophages remain until wound healing is complete Depletion of CD4+ helper cells has no effect on wound healing",Early neutrophil migration allows early epithelial closure of wounds,Serotonin is a wound-active substance secreted by platelet alpha granules,Depletion of CD4+ helper cells decreases wound healing,"Macrophages are a major source of VEGF, remaining until 96 hours post-injury"
8024,2532,2024-12-11 10:11:25+00:00,Arterial and Venous Diseases,"#Surgery, #Cardiology, #InternalMedicine","50/M complains a 9/10 pain in the bilateral lower legs, does not radiate. He describes it as a cramping pain, aggravated by exercise and quickly relieved by rest. Elevation of legs does not relieve pain. He is 50 pack-year smoker. This is most likely",Intermittent claudication,"Venous claudication relieved by elevation. Nerve root compression, arthritis, and compartment syndrome are not quickly relieved in resting position.",Arthritic process,Compartment syndrome,Intermittent claudication,Nerve root compression
8026,2533,2024-12-11 10:48:29+00:00,Arterial and Venous Diseases,"#Surgery, #Cardiology, #InternalMedicine, #Radiology",Gold standard test to check for chronic venous insufficiency.,Duplex ultrasound,Duplex ultrasonography is arguably the most useful initial diagnostic evaluation in the workup of chronic venous disease.,Conventional angiography,CT angiogram,CT scan,Duplex ultrasound
8028,2534,2024-12-11 11:21:41+00:00,Urinary Tract Obstruction,"#Radiology, #Surgery, #Urology",The best imaging to use to check urolithiasis is,Non-contrast CT scan,"The gold standard for diagnosing urinary stone disease is a non-contrast computed tomography scan of the kidneys, ureters, and bladder (CT-KUB).",Cystoscopy,KUB ultrasound,MRI,Non-contrast CT scan
8030,2535,2024-12-13 00:17:58+00:00,Anti-Diabetic Drugs,"#Pharma, #InternalMedicine",Which of the following medications used in Type 2 DM can lead to hypoglycemia?,Mitiglinide,"Oral agents notorious for causing hypoglycemia are the insulin secretagouges: sulfonylureas, e.g. gliclazide, and meglitinides, e.g. mitiglinide.",Mitiglinide,Empagliflozin,Pioglitazone,Acarbose
8032,2536,2024-12-13 00:28:43+00:00,Diseases-modifying Anti-rheumatic Drugs (DMARDs),"#Pharma, #Rheumatology, #InternalMedicine",Which of the following medications is a conventional DMARD?,Leflunomide,"Conventional DMARDs: methotrexate, sulfasalazine, leflunomide, hydroxychloroquine. Other choices are biologics (Etanercept - TNFais, Rituximab - anti-CD20, Anakinra - IL-1 antagonist)",Etanercept,Leflunomide,Rituximab,Anakinra
8034,2537,2024-12-13 00:41:55+00:00,Systemic Lupus Erythematosus,"#Rheumatology, #InternalMedicine",Which of the following accurately decribes the most common chronic dermatitis in lupus?,"Circular with slightly raised, scaly, hyperpigmented erythematous rims",Describes Discoid Lupus Erythematosus. Other choices: A - subacute cutaneous lupus erythematosus; B - Malar Rash (most common acute); D - Lichen Planus,"Circular, flat, red-rimmed (""annular"") lesions","Photosensitive, slightly raised, occassionally scaly facial erythema","Circular with slightly raised, scaly, hyperpigmented erythematous rims",Thin violaceous papules and plaques
8036,2538,2024-12-13 00:59:10+00:00,Rheumatoid Arthritis,"#Rheumatology, #InternalMedicine",Flares of rheumatoid arthritis during pregnancy SHOULD NOT be treated with?,Leflunomide,Leflunomide & Methotrexate are Pregnancy Category X. Low-dose prednisone is generally used to treat RA flares during pregnancy. The safest DMARDs that can be used are HCQ & Sulfasalazine.,Leflunomide,Low-dose prednisone,Hydroxychloroquine,Sulfasalazine
8040,2539,2024-12-13 09:48:50+00:00,Primary Care,#FamilyMedicine,All of the following are possible causes of hematemesis EXCEPT:,Feeding via a nasogastric tube,"Trauma from the insertion of the tube could potentially cause some bleeding, but this is not a common cause of significant hematemesis.",Salicylate administration,Oral iron supplement overdose,Severe burn injury,Menetrier's disease (giant hypertrophic gastritis)
8044,2540,2024-12-13 09:56:31+00:00,Primary Care,#FamilyMedicine,Penicillin administration is the appropriate therapy in all of the following complications of syphilis EXCEPT:,Aneurysm of the aorta,"While penicillin treats the syphilis infection, surgical intervention is necessary to repair the aneurysm.",Meningitis,Aneurysm of the aorta,Interstitial keratitis,Condyloma latum
8046,2541,2024-12-13 09:57:53+00:00,Primary Care,#FamilyMedicine,Which of the following conditions are NOT usually associated with purpura?,Addison's disease,Addison's disease is primarily associated with adrenal insufficiency and does not typically present with purpura.,Henoch-Schonlein syndrome,Hepatic cirrhosis,Systemic lupus erythematosus,Addison's disease
8048,2542,2024-12-14 01:52:32+00:00,Family Oriented and PFC Matrix,#FamilyMedicine,Which of the following specifically describes the family as a unit of health care?,Family Focused Care,Family Oriented Care: treating the patient in the context of the family,Family Oriented Care,Family Focused Care,Family Systems Theory,Family Medicine
8050,2543,2024-12-14 01:55:23+00:00,Family Oriented and PFC Matrix,#FamilyMedicine,"Which of the following is often regarded as the MOST essential skill in the patient-centered, family-focused, community-oriented (PFC) matrix?",Integration,"Integration across the patient, family, and community is the most important skill when utilizing the PFC matrix",Integration,Rapport building,Approachability,Listening
8052,2544,2024-12-14 09:26:18+00:00,Hernia,"#Surgery, #Urology, #Pediatrics","1/M with R inguinal hernia, reducible when supine. No associated erythema and warmth around the R inguinal hernia. The appropriate management for now is",Perform elective surgery,Inguinal hernias do not spontaneously resolve so surgery is required. If bowel becomes entrapped within the inguinal canal an incarcerated hernia can occur. This is a surgical emergency.,"Observe, can spontaneous resolve",Perform elective surgery,,
8055,2545,2024-12-14 09:42:49+00:00,Gallbladder,"#Surgery, #Anatomy, #Gastroenterology","In choledocholithiasis, there is stone in the",Common bile duct,Choledocholithiasis is the presence of at least one gallstone in the common bile duct.,Common bile duct,Cystic duct,Gallbladder body,Hepatic duct
8057,2546,2024-12-14 10:26:22+00:00,Thyroid Gland,#Surgery,35/F with a 2 cm thyroid gland mass with biopsy findings of papillary thyroid cancer. CT-scan results show metastases to lungs and cervical lymph nodes. The stage is,Stage II,"<55 yo, differentiated thyroid cancers are divided into only 2 stages:  
Stage I cancer has not spread to distant parts of the body
Stage II cancer has spread to distant parts of the body.",Stage  I,Stage II,Stage III,Stage IV
8062,2547,2024-12-17 06:43:55+00:00,Abdomen,"#Surgery, #InternalMedicine",Positive Murphy sign is a characteristic of,Acute cholecystitis,Murphy's sign is elicited in patients with acute cholecystitis by asking the patient to take in and hold a deep breath while palpating the subcostal region.,Acute cholecystitis,Acute pancreatitis,Duodenal ulcer,Hepatitis
8064,2548,2024-12-17 06:54:10+00:00,Gallbladder,#Surgery,The gold standard treatment for acute cholecystitis is,Laparoscopic cholecystectomy,"Laparoscopic cholecystectomy is considered the ""gold standard"" for the surgical treatment of gallstone disease, less postoperative pain, better cosmesis, and shorter hospital stays.",ERCP,Laparoscopic cholecystectomy,Open cholecystectomy,Ursodeoxycholic acid
